sport,game_id,a_team,h_team,a_ml,h_ml,last_mod,num_markets
FOOT,6974347,Houston Roughnecks,Seattle Dragons,6,4.8,1.181818,1583607600000,1583388506363
FOOT,6974349,Dallas Renegades,New York Guardians,6,3.6,1.298507,1583618400000,1583386401292
FOOT,6974360,DC Defenders,St. Louis BattleHawks,7,1.555556,2.45,1583697600000,1583391711526
FOOT,7017374,Los Angeles Wildcats,Tampa Bay Vipers,6,2.05,1.741,1583719200000,1583385043601
CRIC,7039846,Australia,South Africa,55,2.7,1.487805,1583568000000,1583392142782
CRIC,7037642,Ireland,Afghanistan,71,1.434783,2.9,1583483400000,1583385756105
CRIC,7039088,West Indies Legends,India Legends,2,1.588235,2.4,1583587800000,1583336602745
CRIC,6986528,Quetta Gladiators,Peshawar Zalmi,77,1.909091,1.87,1583416800000,1583392142566
CRIC,6986527,Multan Sultans,Karachi Kings,71,2,1.8,1583503200000,1583374260547
CRIC,7040147,Australia W,South Africa W,45,3.8,1.29,1583395200000,1583393615322
CRIC,7037266,Lions,Dolphins,55,1.77,2.05,1583407800000,1583392142573
CRIC,7037711,Warriors,Titans,55,1.571429,2.45,1583494200000,1583261775598
CRIC,7040197,Zimbabwe,Bangladesh,55,1.133333,6,1583481600000,1583369884018
CRIC,7042856,West Indies,Sri Lanka,61,2.3,1.625,1583501400000,1583392142813
BASE,7007369,Boston Red Sox,Houston Astros,1,2,1.8,1583431500000,1583380257202
BASE,7007370,Detroit Tigers,New York Yankees,1,1.645161,2.25,1583431500000,1583350273089
BASE,7007329,Tampa Bay Rays,Pittsburgh Pirates,1,2.45,1.555556,1583431500000,1583392598289
BASE,7007337,Philadelphia Phillies,Toronto Blue Jays,1,2.05,1.8,1583431500000,1583379322694
BASE,7007364,San Francisco Giants,Cleveland Indians,1,2,1.8,1583438700000,1583379058260
BASE,7007303,Oakland Athletics,Los Angeles Dodgers,1,2.05,1.8,1583438700000,1583376596419
BASE,7007327,Cincinnati Reds,Milwaukee Brewers,1,2,1.8,1583438700000,1583388184349
BASE,7007352,Baltimore Orioles,Minnesota Twins,1,1.8,2,1583438700000,1583383294269
BASE,7007316,Seattle Mariners,San Diego Padres,1,2,1.833333,1583439000000,1583389033937
BASK,6972580,Houston Rockets,Los Angeles Clippers,88,1.87,1.952381,1583456400000,1583393775663
BASK,6972607,Sacramento Kings,Philadelphia 76ers,85,2.7,1.5,1583463600000,1583393510155
BASK,6972582,Golden State Warriors,Toronto Raptors,0,0,0,0,0
BASK,7042664,UNLV ,Boise State,0,0,0,0,0
BASK,7042670,Michigan  (#25),Nebraska,0,0,0,0,0
BASK,7042668,Connecticut ,Houston (#21),0,0,0,0,0
BASK,7042678,Drake ,Illinois State,0,0,0,0,0
BASK,7042675,Ohio State (#19),Illinois (#23),0,0,0,0,0
BASK,7042671,Army,Lafayette ,0,0,0,0,0
BASK,7042666,Boston U ,Navy,0,0,0,0,0
BASK,7042661,NC Central,North Carolina A&T,0,0,0,0,0
BASK,7042672,MD Eastern Shore,Coppin State,0,0,0,0,0
BASK,7042663,Howard ,Delaware State ,0,0,0,0,0
BASK,7042680,Bethune Cookman ,Florida A&M ,0,0,0,0,0
BASK,7042692,Morgan State,Norfolk State,0,0,0,0,0
BASK,7042659,Longwood ,Hampton ,0,0,0,0,0
BASK,7042669,Alabama A&M ,Grambling,0,0,0,0,0
BASK,7042667,Alabama State,Jackson State ,0,0,0,0,0
BASK,7042684,Alcorn State,Prairie View A&M,0,0,0,0,0
BASK,7042681,Southern U,Texas Southern,0,0,0,0,0
BASK,7042690,New Mexico State,California Baptist,0,0,0,0,0
BASK,7042694,Montana,Northern Colorado ,0,0,0,0,0
BASK,7042679,Loyola Marymount,San Diego,0,0,0,0,0
BASK,7042691,Montana State,Southern Utah ,0,0,0,0,0
BASK,7042687,Oregon State,Stanford ,0,0,0,0,0
BASK,7042699,Utah Valley,UMKC ,0,0,0,0,0
BASK,7042677,Arizona State,Washington,0,0,0,0,0
BASK,7042698,Memphis,Wichita State,0,0,0,0,0
BASK,7042695,Eastern Washington ,Idaho State,0,0,0,0,0
BASK,7042686,Valparaiso ,Evansville ,0,0,0,0,0
BASK,7042689,Idaho U,Weber State,0,0,0,0,0
BASK,7042688,Cal Santa Barbara,CS Fullerton,0,0,0,0,0
BASK,7042693,Long Beach State,Cal Poly SLO ,0,0,0,0,0
BASK,7042696,UC Davis,Hawaii,0,0,0,0,0
BASK,7042701,Portland State,Northern Arizona,0,0,0,0,0
BASK,7042700,Arizona ,Washington State,0,0,0,0,0
BASK,7042697,Oregon (#13),California ,0,0,0,0,0
BASK,7042683,Santa Clara ,Portland U,0,0,0,0,0
BASK,7020600,Zenit Petersburg,Zalgiris,98,1.4,2.9,1583427600000,1583386689522
BASK,7020605,Panathinaikos,CSKA Moscow,95,2.15,1.714286,1583434800000,1583393509907
BASK,7020633,Real Madrid BC,ASVEL Basket,103,13,1.04,1583438400000,1583393423768
BASK,7020629,Valencia Basket,Armani Exchange Olimpia Milan,99,2.45,1.571429,1583438400000,1583392370956
BASK,7044461,Irtysh Pavlodar W,Turan W,5,12,1.01,1583391600000,1583393777373
BASK,7043754,Dinamo-Pro Khabarovsk 3x3,SKIF 3x3,3,1.416667,2.6,1583393400000,1583393741796
BASK,7021555,Ironi Kiryat Ata,Barak Netanya,10,2.9,1.333333,1583427600000,1583388532297
BASK,7021558,Hapoel Hevel Modiin BC,Hapoel Haifa,10,1.333333,2.9,1583429400000,1583386093212
BASK,7040374,Gimle BBK,Frøya Basket,10,4.2,1.181818,1583429400000,1583390242233
BASK,7026136,Horsens IC,Svendborg Rabbits,10,4.5,1.166667,1583430300000,1583390242747
BASK,7026130,Den Helder Suns,Zorg en Zekerheid Leiden,10,1.0625,6.5,1583433000000,1583391991860
BASK,7026134,BAL Weert,Aris Leeuwarden,10,2.55,1.425532,1583434800000,1583362050987
BASK,7026135,Grindavik,IR,10,3,1.322581,1583435700000,1583386976188
BASK,7026151,Fjolnir Reykjavik,Keflavik,10,1.133333,5,1583435700000,1583386093214
BASK,7028927,Haukar,Njarovik,10,2.25,1.555556,1583435700000,1583390242234
BASK,7026146,Thorl,Tindastoll,10,1.526316,2.3,1583435700000,1583391923177
BASK,7026147,Sint Katelujne Waver W,Royal Castors Braine W,10,1.125,4.95,1583436600000,1583390780403
BASK,7031511,BAXI Manresa,Coosur Real Betis,10,2.45,1.555556,1583600400000,1583388532307
BASK,7031509,UCAM Murcia CB,Morabanc Andorra,12,2.05,1.77,1583600400000,1583386689530
BASK,7031496,San Pablo Burgos,Montakit Fuenlabrada,13,3.4,1.327869,1583609400000,1583353138659
BASK,7031497,Fiatc Joventut,Unicaja Baloncesto,12,1.77,2.05,1583609400000,1583358968086
BASK,7044547,Builders Warehouse UST,Tip Engineers,5,8.5,1.04,1583391600000,1583393747045
BASK,7037834,Sydney Kings,Melbourne United,10,2.45,1.526316,1583397000000,1583393542387
BASK,7034877,Perth Wildcats,Cairns Taipans,10,2.7,1.444444,1583404200000,1583388301957
BASK,7042710,Woori Bank Wibee W,KB Stars W,10,2.15,1.606061,1583402400000,1583393099640
BASK,7043123,Al Muharraq,ISSA Town,0,0,0,0,0
BASK,7043318,Al Riffa,Al-Manama,10,1.125,4.95,1583425800000,1583390242742
BASK,7043368,Adroit Sports Association,ZNO Eagles,0,0,0,0,0
BASK,7043378,Dunkin Raptors,Hitech Assumption Thonburi,2,1.444444,2.5,1583485200000,1583391311873
BASK,7042801,Indonesia Patriots,Satya Wacana LBC,0,0,0,0,0
BASK,7043126,CSKA Junior Moscow,MBA Moscow II U21,11,6.5,1.071429,1583406000000,1583384150088
BASK,7042925,Al Ahli,Al Gezira Cairo,10,2.3,1.526316,1583431200000,1583392068674
BASK,7042706,Villa San Martin,Barrio Parque,10,4.95,1.125,1583454600000,1583344370564
BASK,7043080,Elohim Chimaltenango,Club Force,10,9,1.04,1583456400000,1583369619481
BASK,7043319,BALL-KIK,Pampichi,10,1.0555,8,1583461800000,1583377392997
BOXI,7044230,Alfredo Meli,Danny Dignum,0,0,0,0,0
BOXI,7044232,Tomas Andres Reynoso,Jack Cullen,0,0,0,0,0
BOXI,7044234,Kaisee Benjamin,Shaquille Day,0,0,0,0,0
BOXI,7041781,Robert Heleniuis,Adam Kownacki,0,0,0,0,0
BOXI,7041783,Jack Flatley,Anthony Fowler,0,0,0,0,0
BOXI,7041782,Pavel Sour,Hughie Fury,0,0,0,0,0
BOXI,7041784,Rohan Murdock,Zach Parker,0,0,0,0,0
BOXI,6933170,Jono Carroll,Scott Quigg,0,0,0,0,0
BOXI,7041786,Carlos Negron,Robert Alfonso,0,0,0,0,0
BOXI,7041787,Joey Dawejko,Frank Sanchez Faure,0,0,0,0,0
BOXI,7041788,Razvan Cojanu,Efe Ajagba,0,0,0,0,0
BOXI,7041790,Miguel Marriaga,Shakur Stevenson,0,0,0,0,0
BOXI,7041793,Belmar Preciado,Michael Conlan,0,0,0,0,0
BOXI,6956534,Yuniel Dorticos,Mairis Breidis,0,0,0,0,0
BOXI,7000035,Josh Kelly,David Avanesyan,0,0,0,0,0
BOXI,7044235,Lyndon Arthur,Anthony Yarde,0,0,0,0,0
BOXI,6989131,Joe Joyce,Daniel Dubois,0,0,0,0,0
BOXI,7044237,Jessica McCaskill,Cecilia Braekhus,0,0,0,0,0
BOXI,7044238,Javier Fortuna,Luke Campbell,0,0,0,0,0
BOXI,7044239,Maurice Hooker,Regis Prograis,0,0,0,0,0
BOXI,6991945,Jeff Horn,Tim Tszyu,0,0,0,0,0
BOXI,7044242,John Riel Casimero,Naoya Inoue,0,0,0,0,0
BOXI,7041397,Alexander Povetkin,Dillian Whyte,0,0,0,0,0
BOXI,7044243,Apinun Khongsong,Josh Taylor,0,0,0,0,0
BOXI,7041398,Kubrat Pulev,Anthony Joshua,0,0,0,0,0
BOXI,6520416,Oleksander Usyk,Anthony Joshua,0,0,0,0,0
BOXI,6625101,Terence Crawford,Errol Spence Jr,0,0,0,0,0
BOXI,6970541,Khabib Nurmagomedov,Floyd Mayweather Jr,0,0,0,0,0
BOXI,7023007,Zayn Malik,Jake Paul,0,0,0,0,0
BOXI,6960526,Jake Paul,KSI,0,0,0,0,0
BOXI,7023006,Jake Paul,Tyson Fury,0,0,0,0,0
BOXI,7023004,Logan Paul,Tyson Fury,0,0,0,0,0
BOXI,6604610,Teofimo Lopez,Vasyl Lomachenko,0,0,0,0,0
BOXI,7032650,Deontay Wilder,Tyson Fury,0,0,0,0,0
BOXI,7016659,Anthony Joshua,Tyson Fury,0,0,0,0,0
TENN,7041256,Tereza Martinkova,Viktoria Kuzmova,28,2.4,1.555556,1583406300000,1583393067717
TENN,7041170,Irina Maria Bara,Daria Kasatkina,29,1.166667,5,1583411400000,1583392917410
TENN,7043466,Jaqueline Cristian,Sofia Kenin,29,1.210526,4.2,1583420400000,1583393730676
TENN,7042113,Kristina Mladenovic,Anna-Lena Friedsam,24,2.35,1.555556,1583429400000,1583393720498
TENN,7043633,Alison Van Uytvanck,Caroline Garcia,41,1.909091,1.87,1583485200000,1583393319358
TENN,7043423,A. Krunic/K. Srebotnik,L. Pattinama Kerkhove/B. Schoofs,15,3.45,1.307692,1583413200000,1583391819213
TENN,7041169,V.Diatchenko/N.Dzalamidze,A.Mitu/R.Olaru,4,1.487805,2.5,1583418600000,1583392566208
TENN,7043158,M. Kostyuk/V. Kuzmova,V.Lapko/L.Marozava,15,2.35,1.555556,1583433900000,1583393574500
TENN,7042039,Anastasia Potapova,Tamara Zidansek,29,2.05,1.741,1583427900000,1583392963332
TENN,7041799,Johana Konta,Tatjana Maria,29,3.95,1.25,1583442000000,1583393408777
TENN,7040953,Arantxa Rus,Lauren Davis,29,1.487805,2.6,1583456700000,1583393408750
TENN,7041319,Olga Govortsova,Elina Svitolina,29,1.29,3.65,1583462100000,1583393408711
TENN,7044110,Marie Bouzkova,Yafan Wang,27,2.2,1.69,1583510400000,1583393379620
TENN,7041731,Vera Zvonareva,Katerina Siniakova,19,1.540541,2.4,1583436600000,1583393585169
TENN,7039707,Vandeweghe/Kalinskaya,Wickmayer/Stosur,5,1.555556,2.25,1585947600000,1583357925918
TENN,7041797,Lorenzo Giustino,Jason Jung,17,1.454545,2.6,1583427600000,1583392857577
TENN,7041263,Gian Marco Moroni,John Patrick Smith,17,1.69,2.1,1583427900000,1583392576339
TENN,7041262,Ricardas Berankis,Ernesto Escobedo,18,1.833333,1.909091,1583432100000,1583389903337
TENN,7041653,Evgeny Donskoy,Jack Sock,18,1.4,2.75,1583431200000,1583392566204
TENN,7041734,Mitchell Krueger,Sebastian Korda,17,1.606061,2.25,1583431200000,1583393574634
TENN,7039866,J. Corbett/J. Ibrahim,H. HSU Y/M. Romios,8,1.01,21,1583379900000,1583393777483
TENN,7039851,A. Taylor/J. Taylor,K. Kawachi/K. Takeuchi,6,3.2,1.31746,1583391300000,1583393779286
TENN,7040362,R. Noguchi/N. Tajima,B. Klein/S. Puodziunas,7,1.025,11,1583391600000,1583393766172
TENN,7034364,William Ma,Dayne Kelly,4,1.005,26,1583385000000,1583393779244
TENN,7042406,Tristan Boyer,Michael Vrbensky,12,1.01,13,1583391600000,1583393768757
TENN,7042723,Bogdan Borza,Patrick Kypson,7,1.298507,3.2,1583391600000,1583393775335
TENN,7042481,Peter Heller,Luciano Tacchi,2,4.5,1.173913,1583397000000,1583387123980
TENN,7042407,Emilio Nava,Pol Toledo Bague,10,2.25,1.571429,1583397000000,1583391583238
TENN,7042315,R. Arends,Benjamin Bonzi,0,0,0,0,0
TENN,7042635,Lorenzo Musetti,Mick Veldheer,6,4.4,1.153846,1583393400000,1583393479959
TENN,7042737,Vaughn Hunter,Corentin Denolly,9,1.04,10.5,1583398800000,1583382629221
TENN,7040718,Matteo Martineau,D. Salton,2,10.5,1.02,1583398800000,1583382620223
TENN,7042863,P. Malan,Pedja Krstin,2,1.01,13,1583398800000,1583391866584
TENN,7042576,Danylo Kalenichenko,Sadio Doumbia,9,1.87,1.8,1583398800000,1583392671676
TENN,7042575,Roberto Ortega Olmedo,Sidharth Rawat,6,2.6,1.434783,1583398800000,1583356315468
TENN,7042739,Daniel Masur,Tobias Simon,9,2.65,1.434783,1583404200000,1583386428073
TENN,7043161,Kelsey Stevenson,David Pichler,10,1.26,3.6,1583395200000,1583392727016
TENN,7043012,Luca Nardi,Soichiro Moritani,11,2.15,1.606061,1583395200000,1583391989872
TENN,7043159,Francesco Maestrelli,Diego Fernandez Flores,10,2.7,1.408163,1583400600000,1583392791939
TENN,7042441,Daniele Capecchi,Jaroslav Pospisil,11,1.666667,2.05,1583400600000,1583393676208
TENN,7043086,Filip Cristian Jianu,Alexandros Skorilas,3,7,1.0625,1583397000000,1583392476065
TENN,7043011,Antoine Cornut Chauvinc,Lenny Hampel,11,2.1,1.645161,1583397000000,1583386435098
TENN,7042751,Martin Van Der Meerschen,Ljubomir Celebic,3,1.025,10,1583397000000,1583382440109
TENN,7042526,Dusty Boyer,Neil Oberleitner,11,8,1.0555,1583397000000,1583390566720
TENN,7043317,I. Xilas,Alexander Erler,3,1.025,10,1583402400000,1583382440590
TENN,7042816,Alexander Lebedev,Aristotelis Thanos,3,7.5,1.0555,1583402400000,1583389525370
TENN,7043088,Ivan Saveljic,Lucas Catarina,2,1.05,8,1583402400000,1583389074745
TENN,7043087,Matvey Khomentovskiy,Vasil Kirkov,11,1.166667,4.5,1583402400000,1583391990002
TENN,7043110,Kirill Kivattsev,Jeffrey Von Der Schulenburg,6,1.714286,1.952381,1583397000000,1583392239527
TENN,7043426,Aziz Ouakaa,Jonathan Eysseric,2,1.105,6,1583397000000,1583392309563
TENN,7042650,Luca Giacomini,Michal Konecny,11,2.1,1.625,1583397000000,1583387194867
TENN,7043427,Anis Ghorbel,Tim Handel,6,3.15,1.322581,1583397000000,1583392224312
TENN,7042919,Louis Tessa,George Loffhagen,9,1.606061,2.2,1583402400000,1583382727361
TENN,7043429,Ameur Ben Hassen,Calvin Hemery,2,1.01,14,1583407800000,1583382615818
TENN,7043428,Enrico Dalla Valle,Dominik Boehler,9,2.15,1.625,1583407800000,1583392300602
TENN,7042860,Sebastian Fanselow,Arjun Kadhe,9,3.2,1.307692,1583402400000,1583393037521
TENN,7043013,Ricardo Ojeda Lara,Louis Dussin,6,3.45,1.266667,1583402400000,1583391184792
TENN,7043245,Guy Den Heijer,Tiago Cacao,10,1.344828,2.95,1583402400000,1583392942778
TENN,7042892,Alberto Barroso Campos,Yannick Mertens,10,1.434783,2.6,1583402400000,1583393676208
TENN,7042654,T. Legout,Arthur Cazaux,9,1.588235,2.2,1583407800000,1583391670405
TENN,7043243,Mathieu Perchicot,Peter Bothwell,10,5.5,1.1176,1583407800000,1583392175496
TENN,7043244,Benjamin Winter Lopez,Riccardo Bonadio,10,1.29,3.4,1583407800000,1583391327237
TENN,7042632,Evan Furness,T. Atmane,10,5,1.133333,1583407800000,1583393041556
TENN,7042902,T. Boyer/M. Damm,C. Patzanovsky/C. Solberg,4,7,1.083333,1583402400000,1583392240428
TENN,7043083,Alexander Weis,Eduard Esteve Lobato,10,1.222222,3.8,1583402400000,1583385625826
TENN,7043404,Rayane Roumane,Marco Bortolotti,9,3.25,1.307692,1583402400000,1583391891902
TENN,7043195,Oriol Roca Batalla,Carlos Boluda Purkiss,6,3.45,1.285714,1583407800000,1583391736908
TENN,7043115,Inigo Cervantes,Thomas Deschamps,9,5.5,1.125,1583407800000,1583391954671
TENN,7043082,Pedro Cachin,C. Lopez Montagud,9,6,1.105,1583413200000,1583391736862
TENN,7043194,Alvaro Lopez San Martin,Javier Barranco Cosano,7,1.8,1.909091,1583424000000,1583392917504
TENN,7043632,Nicolas Alvarez Varona,Pablo Llamas Ruiz,10,2.45,1.5,1583429400000,1583391871609
TENN,7043156,R. Arends/A. Beckley,J. Davis/A. Sibanda M D,3,3.15,1.333333,1583404200000,1583386745830
TENN,7042917,V. Caripi/V. Hunter,M. Becker G/P. Malan,3,3.95,1.210526,1583409600000,1583356495754
TENN,7043093,D. Kalenichenko/J. Thirouin,S. Carr/C. Denolly,3,1.377358,2.9,1583409600000,1583389501123
TENN,7043095,B. Bonzi/M. Martineau,S. Rawat/M. Veldheer,3,4.1,1.2,1583409600000,1583356505775
TENN,7041180,T. Arribage/M. Broville,A. Binda/C. Minc,3,4.15,1.2,1583407800000,1583391315063
TENN,7043430,R. Maiga/F. Vidal Azorin J,A. Ghorbel/L. Tessa,3,1.8,1.8,1583413200000,1583383463814
TENN,7040848,L. Giacomini/K. Kivattsev,Y. HE/R. Hua,3,1.606061,2.15,1583413200000,1583391455517
TENN,7040790,H. Medjedovic/M. Tepavac,A. Thanos/I. Xilas,2,2.5,1.487805,1583413200000,1583382612676
TENN,7040514,M. Khomentovskiy/A. Skorilas,A. Cornut Chauvinc/C. Schmitz,3,1.266667,3.6,1583413500000,1583393395447
TENN,7040751,L. Hampel/N. Oberleitner,L. Celebic/IG. Saveljic,3,1.606061,2.15,1583413500000,1583371615428
TENN,7043602,Matias Zukas,Juan Manuel Cerundolo,6,1.25,3.55,1583413200000,1583390908953
TENN,7043643,Hernan Casanova,Mariano Navone,9,4.5,1.166667,1583413200000,1583391468117
TENN,7043501,Manuel Pena Lopez,Santiago Fa Rodriguez Taverna,9,2.2,1.606061,1583413200000,1583390439756
TENN,7043330,Gonzalo Lama,B. Ambrosio,10,3.85,1.222222,1583418600000,1583392251056
TENN,7043762,Juan Bautista Torres,Facundo Diaz Acosta,9,1.173913,4.45,1583418600000,1583392049924
TENN,7043763,Facundo Arguello,Mariano Kestelboim,2,3.4,1.266667,1583418600000,1583391761240
TENN,7040813,G. Den Heijer/N. Turchetti,F. Fallert/N. Moreno De Alboran,3,1.606061,2.15,1583416800000,1583391039377
TENN,7043130,F. Cabral/L. Faria,L. Dussin/R. Joncour,2,2.2,1.606061,1583416800000,1583383463431
TENN,7040780,S. Fanselow/Y. Mertens,M. Banes/B. Ellis,3,1.666667,2.1,1583416800000,1583382624833
TENN,7043261,A. Salgado/T. Torres,M. Dembek/G. Falcao,3,1.105,5.5,1583416800000,1583391039341
TENN,7041259,N. Uryson/G. Villanueva,A. Merino/M. Pena Lopez,3,1.357143,3,1583424000000,1583361763642
TENN,7041870,M. Cerundolo J/M. Kestelboim,A. Hidalgo G/I. Monzon,3,2.55,1.434783,1583429400000,1583391039697
TENN,7039400,Anna Ureke,Alana Parnaby,5,1.04,9,1583373600000,1583393703758
TENN,7039717,S. Hosogi/M. Matsuda,M. Ozeki/R. Ueda,10,1.298507,3.4,1583386200000,1583393764493
TENN,7040368,R. Saigo/Y. Saigo,H. Sakatsume/R. Ushijima,5,1.555556,2.25,1583388600000,1583393777463
TENN,7042828,Melis Sezer,Amina Anshba,16,1.142857,4.65,1583391600000,1583393778325
TENN,7042608,Tena Lukas,Despina Papamichail,14,2.6,1.416667,1583391600000,1583393779242
TENN,7042904,Andrea Lazaro Garcia,Lina Gjorcheska,16,2.55,1.444444,1583391600000,1583393773123
TENN,7042894,Maiar Sherif,Marion Viertler,11,10.5,1.02,1583391600000,1583393777616
TENN,7042332,Victoria Kan,Anna Danilina,5,2.3,1.555556,1583397000000,1583392976341
TENN,7042707,Dalma Galfi,Zeynep Sonmez,5,3.95,1.210526,1583397000000,1583391184383
TENN,7042607,Gozal Ainitdinova,Irene Burillo Escorihuela,5,1.333333,3.05,1583397300000,1583393574607
TENN,7042799,Jesika Maleckova,Oana Georgeta Simion,5,1.645161,2.1,1583397300000,1583387485658
TENN,7042321,C. Simmonds,Berfu Cengiz,11,1.31746,3.15,1583393400000,1583393774207
TENN,7042435,Martina Caregaro,Joanne Zuger,4,4.4,1.153846,1583393400000,1583393690041
TENN,7042923,Shavit Kimchi,S. Murray Sharan,3,1.025,11,1583393400000,1583393686368
TENN,7042442,Katy Dunne,Simona Waltert,2,2,1.741,1583393400000,1583393545997
TENN,7042611,Marina Melnikova,Viktoria Morvayova,8,3.85,1.210526,1583393700000,1583393767253
TENN,7042612,Daria Mishina,Susan Bandecchi,1,1.31746,3.15,1583398800000,1583392872943
TENN,7043068,C. Romeo,Luna Meers,4,8,1.0555,1583395200000,1583371425195
TENN,7043069,Valeriya Yushchenko,O. Selekhmeteva,4,1.8,1.909091,1583395200000,1583391467892
TENN,7043067,Meiling Wang,Valeria Koussenkova,3,8.5,1.05,1583395200000,1583392982195
TENN,7042731,E. Camerano,Izabela Gabriela Novac,4,4.45,1.181818,1583400600000,1583392918093
TENN,7042591,Clothilde De Bernardi,Sandra Samir,4,1.47619,2.5,1583400600000,1583371440427
TENN,7043118,Zeina Shaaban,Zeel Desai,3,1.02,13,1583400600000,1583382631862
TENN,7042971,J. Pysson,Anastasia Zolotareva,2,1.322581,3.2,1583406000000,1583380461126
TENN,7042955,C. Robillard-Millette,Andreea Prisacariu,4,1.266667,3.55,1583397000000,1583387997463
TENN,7043425,Joanna Zawadzka,Nefisa Berberovic,4,1.2,4.2,1583397000000,1583376324442
TENN,7043415,Nina Stadler,Alexandra Eala ,4,1.540541,2.3,1583402400000,1583379984453
TENN,7042738,Jenny Duerst,Anne Sophie Morandais,4,4.15,1.2,1583402400000,1583376414737
TENN,7043416,Monika Kilnarova,K. Kuzmova,4,8,1.0625,1583402400000,1583371695867
TENN,7040745,Susanne Celik,Karolayne Alexandre Da Rosa,4,4.35,1.181818,1583407800000,1583378979374
TENN,7042893,A. Chlpac,Chantal Skamlova,1,1.1176,5.5,1583397000000,1583382630070
TENN,7042578,Romy Koelzer,Martina Biagianti,4,4.8,1.153846,1583397000000,1583382618672
TENN,7042595,Andreea Amalia Rosca,Martina Colmegna,4,3.25,1.29,1583397000000,1583380110362
TENN,7042999,Lina Glushko,Oleksandra Oliynykova,4,1.588235,2.2,1583397000000,1583375873131
TENN,7042634,Martha Matoula,Corinna Dentoni,2,1.133333,5,1583402400000,1583392428033
TENN,7043089,Kp Bejenaru,Miriam Kolodziejova,1,1.181818,4.3,1583402400000,1583382622564
TENN,7042847,Julia Stamatova,N. Saidenova,4,2.2,1.606061,1583402400000,1583364095062
TENN,7042597,Jessica Bouzas Maneiro,Rebeka Masarova,4,1.333333,3.05,1583402400000,1583376002957
TENN,7043078,C. Simmonds/G. Thombare P,K. Le Bihan/M. Noel,1,3.85,1.235294,1583404200000,1583387415773
TENN,7042922,S. Ochsner/J. Zuger,S. Murray Sharan/F. Stollar,3,1.105,5.75,1583404200000,1583392558342
TENN,7042998,B. Cengiz/P. Hourigan,W. Falkowska/M. Kubka,3,2,1.714286,1583404200000,1583382613401
TENN,7040521,D. Galfi/V. Strakhova,I. OZ/M. Sezer,3,2.35,1.526316,1583406900000,1583392049212
TENN,7040570,H. Ramadan/Z. Shaaban,J. Cabaj Awad/S. Samir,0,0,0,0,0
TENN,7040624,S-R. LEE/C. Romeo,G. Novac I/S. Vig,3,6,1.1,1583411400000,1583392287599
TENN,7040626,D. Krasnova/O. Selekhmeteva,V. Koussenkova/V. Yushchenko,3,4.5,1.166667,1583411400000,1583392329513
TENN,7043329,N. Berberovic/V. Mikhaylova,N. Gadient/N. Karamoko,3,3.3,1.307692,1583409600000,1583392611456
TENN,7043383,S. Herrmann/A. Prisacariu,V. Gaggini/J. Saner,1,4.1,1.2,1583413200000,1583392558354
TENN,7040910,A. Klasen/R. Koelzer,M. Colmegna/D. Spiteri,3,1.408163,2.75,1583413200000,1583382628256
TENN,7040814,O. Oliynykova/N. Siedliska,V. Ersoz/J. Lovqvist,2,3.15,1.322581,1583413200000,1583392428034
SOCC,7032145,Racing Club,Estudiantes Merida,0,0,0,0,0
SOCC,7032144,São Paulo,Deportivo Binacional,0,0,0,0,0
SOCC,7032142,Nacional,Alianza Lima,0,0,0,0,0
SOCC,6972193,Manchester United,Derby County,0,0,0,0,0
SOCC,6978750,Athletic Bilbao,Granada CF,0,0,0,0,0
SOCC,7004648,Bournemouth,Liverpool,0,0,0,0,0
SOCC,7016905,West Ham,Arsenal,0,0,0,0,0
SOCC,7016898,Watford,Crystal Palace,0,0,0,0,0
SOCC,7016904,Norwich City,Sheffield United,0,0,0,0,0
SOCC,7016907,Newcastle United,Southampton,0,0,0,0,0
SOCC,7016906,Brighton,Wolverhampton Wanderers,0,0,0,0,0
SOCC,7016901,Tottenham Hotspur,Burnley,0,0,0,0,0
SOCC,7016900,Everton,Chelsea,0,0,0,0,0
SOCC,7016899,Manchester City,Manchester United,0,0,0,0,0
SOCC,7016961,Aston Villa,Leicester City,0,0,0,0,0
SOCC,7042099,Arsenal,Manchester City,0,0,0,0,0
SOCC,7034764,Leicester City,Watford,0,0,0,0,0
SOCC,7034761,Crystal Palace,Bournemouth,0,0,0,0,0
SOCC,7034762,Arsenal,Brighton,0,0,0,0,0
SOCC,7034763,Burnley,Manchester City,0,0,0,0,0
SOCC,7034766,Sheffield United,Newcastle United,0,0,0,0,0
SOCC,7034765,Southampton,Norwich City,0,0,0,0,0
SOCC,7034767,Chelsea,Aston Villa,0,0,0,0,0
SOCC,7034783,Wolverhampton Wanderers,West Ham,0,0,0,0,0
SOCC,7043030,Manchester United,Tottenham Hotspur,0,0,0,0,0
SOCC,7004649,Liverpool,Everton,0,0,0,0,0
SOCC,7003312,Amiens,Olympique Marseille,0,0,0,0,0
SOCC,7003313,Paris SG,Racing Strasburg,0,0,0,0,0
SOCC,7003317,Nantes,Angers,0,0,0,0,0
SOCC,7036700,FC Toulouse,Dijon,0,0,0,0,0
SOCC,7003315,Nimes,Metz,0,0,0,0,0
SOCC,7003316,Monaco,Nice,0,0,0,0,0
SOCC,7003314,Brest,Stade Reims,0,0,0,0,0
SOCC,7003321,Bordeaux,Saint-Étienne,0,0,0,0,0
SOCC,7003323,Montpellier,Rennes,0,0,0,0,0
